passengerId	OrigTAZ	DestTAZ	mode	timePeriod	direction	PDT/PAT
1029	1	6	3	AM	1	623
1028	1	6	3	AM	1	622
1018	1	6	3	AM	1	612
1011	1	6	3	AM	1	605
1010	1	6	3	AM	1	604
1008	1	6	3	AM	1	602
1016	1	6	3	AM	1	610
1026	1	6	3	AM	1	620
1012	1	6	3	AM	1	606
1006	1	6	3	AM	1	600
1021	1	6	3	AM	1	615
1023	1	6	3	AM	1	617
1017	1	6	3	AM	1	611
1022	1	6	3	AM	1	616
1024	1	6	3	AM	1	618
1019	1	6	3	AM	1	613
1014	1	6	3	AM	1	608
1009	1	6	3	AM	1	603
1005	1	6	3	AM	1	599
1001	1	6	3	AM	1	595
1003	1	6	3	AM	1	597
1013	1	6	3	AM	1	607
1020	1	6	3	AM	1	614
1007	1	6	3	AM	1	601
1004	1	6	3	AM	1	598
1027	1	6	3	AM	1	621
1030	1	6	3	AM	1	624
1002	1	6	3	AM	1	596
1015	1	6	3	AM	1	609
1025	1	6	3	AM	1	619
