route	trip	sequence	from	to	flow
1	1001	1	1	2	0
1	1001	2	2	3	0
1	1002	1	1	2	0
1	1002	2	2	3	0
1	1003	1	1	2	0
1	1003	2	2	3	0
1	1004	1	1	2	0
1	1004	2	2	3	0
2	2001	1	4	5	0
2	2001	2	5	6	0
2	2002	1	4	5	0
2	2002	2	5	6	0
2	2003	1	4	5	0
2	2003	2	5	6	0
2	2004	1	4	5	0
2	2004	2	5	6	0
3	3001	1	1	7	5
3	3001	2	7	8	5
3	3001	3	8	9	5
3	3001	4	9	10	5
3	3001	5	10	11	5
3	3001	6	11	6	5
3	3002	1	1	7	2
3	3002	2	7	8	2
3	3002	3	8	9	2
3	3002	4	9	10	2
3	3002	5	10	11	2
3	3002	6	11	6	2
3	3003	1	1	7	7
3	3003	2	7	8	7
3	3003	3	8	9	7
3	3003	4	9	10	7
3	3003	5	10	11	7
3	3003	6	11	6	7
3	3004	1	1	7	6
3	3004	2	7	8	6
3	3004	3	8	9	6
3	3004	4	9	10	6
3	3004	5	10	11	6
3	3004	6	11	6	6
4	4001	1	14	12	0
4	4001	2	12	13	0
4	4001	3	13	6	0
4	4002	1	14	12	0
4	4002	2	12	13	0
4	4002	3	13	6	0
4	4003	1	14	12	0
4	4003	2	12	13	0
4	4003	3	13	6	0
4	4004	1	14	12	0
4	4004	2	12	13	0
4	4004	3	13	6	0
5	5001	1	1	14	0
5	5001	2	14	15	0
5	5001	3	15	6	0
5	5002	1	1	14	5
5	5002	2	14	15	5
5	5002	3	15	6	5
5	5003	1	1	14	1
5	5003	2	14	15	1
5	5003	3	15	6	1
5	5004	1	1	14	4
5	5004	2	14	15	4
5	5004	3	15	6	4
transfer	3	5	6	6	0
transfer	4	5	6	6	0
transfer	5	4	14	14	0
transfer	5	4	14	14	0
transfer	5	4	14	14	0
transfer	1	2	3	4	0
transfer	1	2	3	4	0
transfer	1	2	3	4	0
transfer	1	2	3	4	0
transfer	1	4	3	12	0
transfer	1	4	3	12	0
transfer	1	4	3	12	0
transfer	1	4	3	12	0
transfer	2	4	5	13	0
transfer	2	4	5	13	0
transfer	2	4	5	13	0
transfer	2	4	5	13	0
transfer	4	2	12	4	0
transfer	4	2	12	4	0
transfer	4	2	12	4	0
transfer	4	2	13	5	0
transfer	4	2	13	5	0
transfer	4	2	13	5	0
