passenger	origin	destination	PDT	path
1029	1	6	623.0	['access,89', '5004,1', '5004,2', '5004,3', 'egress,98']
1028	1	6	622.0	['access,89', '5004,1', '5004,2', '5004,3', 'egress,98']
1018	1	6	612.0	['access,90', '3003,1', '3003,2', '3003,3', '3003,4', '3003,5', '3003,6', 'egress,98']
1011	1	6	605.0	['access,91', '3002,1', '3002,2', '3002,3', '3002,4', '3002,5', '3002,6', 'egress,101']
1010	1	6	604.0	['access,94', '5002,1', '5002,2', '5002,3', 'egress,110']
1008	1	6	602.0	['access,94', '5002,1', '5002,2', '5002,3', 'egress,110']
1016	1	6	610.0	['access,90', '3003,1', '3003,2', '3003,3', '3003,4', '3003,5', '3003,6', 'egress,99']
1026	1	6	620.0	['access,89', '3004,1', '3004,2', '3004,3', '3004,4', '3004,5', '3004,6', 'egress,94']
1012	1	6	606.0	['access,91', '3002,1', '3002,2', '3002,3', '3002,4', '3002,5', '3002,6', 'egress,101']
1006	1	6	600.0	['access,93', '5002,1', '5002,2', '5002,3', 'egress,109']
1021	1	6	615.0	['access,90', '3004,1', '3004,2', '3004,3', '3004,4', '3004,5', '3004,6', 'egress,97']
1023	1	6	617.0	['access,90', '3004,1', '3004,2', '3004,3', '3004,4', '3004,5', '3004,6', 'egress,97']
1017	1	6	611.0	['access,90', '3003,1', '3003,2', '3003,3', '3003,4', '3003,5', '3003,6', 'egress,99']
1022	1	6	616.0	['access,90', '3004,1', '3004,2', '3004,3', '3004,4', '3004,5', '3004,6', 'egress,97']
1024	1	6	618.0	['access,90', '3004,1', '3004,2', '3004,3', '3004,4', '3004,5', '3004,6', 'egress,97']
1019	1	6	613.0	['access,90', '3003,1', '3003,2', '3003,3', '3003,4', '3003,5', '3003,6', 'egress,98']
1014	1	6	608.0	['access,91', '3003,1', '3003,2', '3003,3', '3003,4', '3003,5', '3003,6', 'egress,101']
1009	1	6	603.0	['access,94', '5002,1', '5002,2', '5002,3', 'egress,110']
1005	1	6	599.0	['access,91', '3001,1', '3001,2', '3001,3', '3001,4', '3001,5', '3001,6', 'egress,102']
1001	1	6	595.0	['access,91', '3001,1', '3001,2', '3001,3', '3001,4', '3001,5', '3001,6', 'egress,101']
1003	1	6	597.0	['access,91', '3001,1', '3001,2', '3001,3', '3001,4', '3001,5', '3001,6', 'egress,102']
1013	1	6	607.0	['access,91', '3003,1', '3003,2', '3003,3', '3003,4', '3003,5', '3003,6', 'egress,101']
1020	1	6	614.0	['access,91', '5003,1', '5003,2', '5003,3', 'egress,103']
1007	1	6	601.0	['access,94', '5002,1', '5002,2', '5002,3', 'egress,110']
1004	1	6	598.0	['access,91', '3001,1', '3001,2', '3001,3', '3001,4', '3001,5', '3001,6', 'egress,102']
1027	1	6	621.0	['access,89', '5004,1', '5004,2', '5004,3', 'egress,98']
1030	1	6	624.0	['access,89', '5004,1', '5004,2', '5004,3', 'egress,97']
1002	1	6	596.0	['access,91', '3001,1', '3001,2', '3001,3', '3001,4', '3001,5', '3001,6', 'egress,102']
1015	1	6	609.0	['access,91', '3003,1', '3003,2', '3003,3', '3003,4', '3003,5', '3003,6', 'egress,101']
1025	1	6	619.0	['access,90', '3004,1', '3004,2', '3004,3', '3004,4', '3004,5', '3004,6', 'egress,96']
