passenger	tripSequence	routeID	tripID	boardingStopID	boardingStopLat	boardingStopLon	boardingTime	alightingStopID	alightingStopLat	alightingStopLon	alightingTime
1029	1	5	5004	1	111.1	111.1	625.0	6	116.1	116.1	636.0
1028	1	5	5004	1	111.1	111.1	625.0	6	116.1	116.1	636.0
1018	1	3	3003	1	111.1	111.1	614.0	6	116.1	116.1	626.0
1011	1	3	3002	1	111.1	111.1	607.0	6	116.1	116.1	619.0
1010	1	5	5002	1	111.1	111.1	605.0	6	116.1	116.1	616.0
1008	1	5	5002	1	111.1	111.1	605.0	6	116.1	116.1	616.0
1016	1	3	3003	1	111.1	111.1	614.0	6	116.1	116.1	626.0
1026	1	3	3004	1	111.1	111.1	621.0	6	116.1	116.1	633.0
1012	1	3	3002	1	111.1	111.1	607.0	6	116.1	116.1	619.0
1006	1	5	5002	1	111.1	111.1	605.0	6	116.1	116.1	616.0
1021	1	3	3004	1	111.1	111.1	621.0	6	116.1	116.1	633.0
1023	1	3	3004	1	111.1	111.1	621.0	6	116.1	116.1	633.0
1017	1	3	3003	1	111.1	111.1	614.0	6	116.1	116.1	626.0
1022	1	3	3004	1	111.1	111.1	621.0	6	116.1	116.1	633.0
1024	1	3	3004	1	111.1	111.1	621.0	6	116.1	116.1	633.0
1019	1	3	3003	1	111.1	111.1	614.0	6	116.1	116.1	626.0
1014	1	3	3003	1	111.1	111.1	614.0	6	116.1	116.1	626.0
1009	1	5	5002	1	111.1	111.1	605.0	6	116.1	116.1	616.0
1005	1	3	3001	1	111.1	111.1	600.0	6	116.1	116.1	612.0
1001	1	3	3001	1	111.1	111.1	600.0	6	116.1	116.1	612.0
1003	1	3	3001	1	111.1	111.1	600.0	6	116.1	116.1	612.0
1013	1	3	3003	1	111.1	111.1	614.0	6	116.1	116.1	626.0
1020	1	5	5003	1	111.1	111.1	615.0	6	116.1	116.1	626.0
1007	1	5	5002	1	111.1	111.1	605.0	6	116.1	116.1	616.0
1004	1	3	3001	1	111.1	111.1	600.0	6	116.1	116.1	612.0
1027	1	5	5004	1	111.1	111.1	625.0	6	116.1	116.1	636.0
1030	1	5	5004	1	111.1	111.1	625.0	6	116.1	116.1	636.0
1002	1	3	3001	1	111.1	111.1	600.0	6	116.1	116.1	612.0
1015	1	3	3003	1	111.1	111.1	614.0	6	116.1	116.1	626.0
1025	1	3	3004	1	111.1	111.1	621.0	6	116.1	116.1	633.0
